wgi_glacier_id, glacier_name, lat, lon, total_area, area_in_state, area_exp, mean_width, mean_length, mean_depth, max_length, max_length_abl, max_length_exp, num_basins, topo_scale, mean_elev, max_elev, min_elev, min_elev_exp, mean_elev_acc, snow_line_elev, mean_elev_abl, orientation_acc, orientation_abl, primary_class 
CA2N001GM363, ,56.683,-131.638,0.37,0.37,0.37,0.2, ,10,0.2,0.2,0.1, , , ,1430,860,860,1220, , , NW, NW,7
CA2N001GF003, ,57.022,-130.484,0.04,0.04,0.04,0.5, ,10,0.5, , , , , ,1770,1690,1690,1730, , , SE, SE,7
CA2N001EA203, ,57.491,-132.284,0.13,0.13,0.13,0.6, ,10,0.6,0.2, , , , ,1859,1372,1372,1615, , , NE, NE,6
CA2N001GK278, ,56.618,-130.749,0.69,0.69,0.69,0.8, ,25,0.8, ,0.1, , , ,2080,1150,1150,1540, , , E, E,6
US2A00206040, ,69.233,-144.117,0.23,0.23, , , , ,0.8, , , ,63360, ,2130,1890, , , , , SE, SE,6
CA2N003BN113, ,60.083,-137.788, , , ,0.8, , ,0.2,4.6,0.3, , , ,1810,720,1070,1580,1400,1250, N, NE,5
CA2N001GI149, ,57.313,-130.033,0.04,0.04,0.04,0.3, ,10,0.3, , , , , ,1860,1680,1680,1770, , , N, N,6
CA2N001GM026, ,56.533,-130.974,0.05,0.05,0.05,0.3, ,10,0.3,0.2, , , , ,2310,2080,2080,2180, , , NW, NW,6
US2O00503038, ,68.983,-144.367,0.08,0.08, , , , ,0.6, , , ,63360, ,2270,2040, , , , , W, W,6
CA2N001GI202, ,57.305,-129.823,0.04,0.04,0.04,0.2, ,10,0.2,0.2,0.2, , , ,1980,1860,1860,1950,1920,1910, NW, NW,7
US2A00205040, ,69.233,-143.8,1.76,1.76, , , , ,3.2, , , ,63360, ,2500,1580, , , , , E, E,5
CA2N003BL035, ,60.783,-137.963, , , ,0.2, , ,0.9,2.1,0.2, , , ,1950,1370,1435, , ,1585, , NE,5
CA2N001CC697, ,57.383,-129.758,0.24,0.24,0.24,0.8, ,10,0.8,0.2, , , , ,2042,1829,1829,1920, , , NE, NE,6
CA2N001BC016, ,58.261,-129.373,0.05,0.05,0.05,0.3, ,10,0.3, , , , , ,1951,1814,1814,1890, , , NE, NE,7
CA2O014AR027, ,61.084,-139.869,0.1,0.1,0.1,0.6, , ,0.6,0.4,0.2, , , ,2940,2590,2590,2840,2740,2670, NW, NW,6
CA2N001EA347, ,57.836,-132.565,0.11,0.11,0.11,0.5, ,10,0.5,0.2, , , , ,1372,1204,1204,1250, , , E, E,6
CA2O016CF070, ,60.286,-136.505, , , ,0.4, , ,0.4,0.2,0.4, , , ,1950,1845,1845, , , , , N,7
CA2N001FH010, ,57.566,-131.529,0.01,0.01,0.01,0.2, ,10,0.2,0.2, , , , ,1829,1707,1707,1768, , , NW, NW,6
CA2N001EA392, ,57.833,-132.378,0.51,0.51,0.51,0.7, ,25,0.7,0.2,0.1, , , ,1996,1341,1341,1768, , , SW, SW,7
CA2O014AO039, ,60.876,-139.274,0.12,0.12,0.12,0.6, , ,0.6, , , , , ,2450,2100,2100,2280, , , NW, NW,7
CA2N001GH380, ,57.449,-129.913,0.28,0.28,0.28,0.8, ,10,0.8, , , , , ,2070,1680,1680,1770, , , N, N,6
CA2N001FD038, ,57.136,-132.036,3.4,3.4,3.31, , ,50, ,2.1,0.1, , , ,1905,914,1250,1585,1372,1219, NW, NW,6
CA2N003BD077, ,60.002,-138.169,5.25,5.25,4.1,0.7, , ,0.6,4.4,0.2, , , ,1790,730,860,1290,1160,1070, NE, SE,5
CA2N001EC007, ,57.921,-131.848,1.06,1.06,0.74,0.6, ,25, ,0.2,0.6, , , ,2050,1450,1470,1700, ,1460, E, E,6
CA2O014AN059, ,61.031,-139.203,4.08,4.08,4.01,0.9, , ,0.8,4.2,0.2, , , ,2730,1980,2010,2540,2360,2170, NE, E,5
US2O00503032, ,68.917,-145.017,0.31,0.31, , , , ,1.1, , , ,63360, ,2260,1800, , , , , NW, NW,6
CA2O014AL189, ,60.937,-138.786,0.1,0.1,0.1,0.4, , ,0.4, , , , , ,2300,2100,2100,2200, , , NW, NW,7
CA2O014AS023, ,61.226,-140.06,0.27,0.27,0.27,0.1, , ,0.1,0.3,0.5, , , ,2950,2230,2230,2700,2500,2400, NE, NE,5
CA2N001CA032, ,57.699,-129.463,0.03,0.03,0.03,0.3, ,10,0.3,0.2, , , , ,1941,1737,1737,1768, , , W, W,7
CA2N001GF332, ,57.154,-130.549,0.03,0.03,0.03,0.3, ,10,0.3, , , , , ,2166,1900,1900,2033, , , W, W,7
CA2O016CD077, ,59.95,-135.99, , , ,0.6, , ,0.8,4.1,0.6, , , ,2040,1490,1520,1860,1750,1710, NE, NE,5
CA2O014AL201, ,60.983,-138.886,1.8,1.8,1.46,0.2, , ,0.4,4.1,0.6, , , ,2680,1980,2120,2490,2290,2210, NW, N,5
CA2N001GJ281, ,56.868,-130.071,0.03,0.03,0.03,0.3, ,10,0.3, , , , , ,1740,1615,1615,1670, , , E, E,7
CA2N001FG014, ,57.385,-131.968,0.42,0.42,0.42,0.8, ,10,0.8, , , , , ,1524,1219,1219,1387, , , NW, NW,6
US2A00209007, ,69.2,-145.167,2.59,2.59, , , , ,4.5, , , ,63360, ,2520,1310, , , , , N, N,5
CA2O014BG022, ,61.551,-141.023,1.67,1.67,0.94,0.9, , ,0.4,4.1,0.9, , , ,2560,1920,2190,2350,2290,2240, E, E,5
CA2N003BN043, ,60.31,-137.125, , , ,0.6, , , ,0.2,0.6, , , ,1190,890, , , ,1005, , NE,9
CA2O014AE006, ,61.944,-138.644, , , ,0.6, , , ,0.2,0.6, , , ,1365,1285, , , ,1325, , NW,9
US2A00207035, ,69,-144.367,0.26,0.26, , , , ,0.6, , , ,63360, ,2190,1860, , , , , NW, NW,6
CA2O014AL046, ,60.699,-139.035,1.39,1.39,1.09,0.2, , ,0.4,4.2, , , , ,3050,1730,2090,2550,2410,2290, NE, SE,5
CA2N001FH158, ,57.388,-131.559,0.24,0.24,0.24,0.5, ,10,0.5,0.2,0.1, , , ,1615,1280,1280,1465,1370,1340, NE, NE,6
CA2N001AA011, ,58.274,-128.352,3.35,3.35,3.35,0.8, ,25,0.8,0.2,0.8, , , ,1935,1676, ,1798,1859,1768, N, N,6
CA2N003BN021, ,60.353,-137.383, , , ,0.2, , ,0.7,2.1,0.8, , , ,1830,1325,1580,1720,1675,1660, NE, NE,6
CA2N001AC100, ,57.179,-128.109,0.1,0.1,0.1,0.5, ,10,0.5,0.2,0.5, , , ,2012,1829,1829,1890,1920,1890, N, N,6
CA2N003CA057, ,59.602,-137.464, , , ,0.8, , ,0.8,0.4,0.3, , , ,1840,1600,1600,1750,1680,1650, NW, NW,5
CA2N001GF277, ,57.313,-130.717,0.04,0.04,0.04,0.5, ,10,0.5, , , , , ,1660,1564,1564,1600, , , NW, NW,7
CA2N001AD090, ,57.587,-128.453,0.05,0.05,0.05,0.2, ,10,0.1,0.2,0.1, , , ,2012,1981, , ,1996,1981, W, W,7
CA2N001GI225, ,57.267,-129.794,0.02,0.02,0.02,0.1, ,10,0.1, , , , , ,1840,1830,1830,1835, , , E, E,7
US2A00104036, ,67.917,-154.017,0.08,0.08, , , , ,0.3, , , ,63360, ,1580,1430, , , , , N, N,7
CA2N001AC019, ,57.796,-126.887,0.8,0.8,0.8,0.2, ,25,0.2,0.2,0.2, , , ,2200,1798,1798,2040,1950,1900, NW, NW,6
CA2N001BF044, ,57.755,-130.344,0.35,0.35,0.19,0.8, ,50,0.9,2.1,0.4, , , ,1966,1432,1661,1798, ,1646, N, N,5
CA2N001GI211, ,57.302,-129.808,0.03,0.03,0.03,0.3, ,10,0.3, , , , , ,2000,1860,1860,1950, , , W, W,7
CA2N001FF013, ,57.287,-132.115,0.89,0.89,0.89,0.4, ,25,0.4,0.2,0.3, , , ,2290,1310,1310,1850,1600,1450, NW, NW,6
CA2N001GI373, ,57.107,-129.817,0.06,0.06,0.06,0.1, ,10,0.1, , , , , ,1740,1620,1620,1680, , , NW, NW,7
CA2N001AC052, ,57.203,-127.914,0.13,0.13, ,0.6, ,10, ,0.2,0.6, , , ,1830,1650, , , ,1740, , NW,9
